	中国本土の感染者数	世界の死者数	中国本土の退院・治癒	中国本土の感染疑い	香港	マカオ	台湾	日本	韓国	ベトナム	シンガポール	豪州	マレーシア	カンボジア	ニュージーランド	フィリピン	フランス	フィンランド	ドイツ	イタリア	モナコ	ロシア	ベラルーシ	リトアニア	オランダ	スペイン	スウェーデン	英国	ベルギー	オーストリア	スイス	クロアチア	ギリシャ	ノルウェー	ジョージア	北マケドニア	デンマーク	チェコ	エストニア	ルーマニア	アイスランド	サンマリノ	アルメニア	ルクセンブルク	ラトビア	ポルトガル	アイルランド	タイ	ネパール	スリランカ	インド	インドネシア	パキスタン	米国	カナダ	メキシコ	ドミニカ共和国	アラブ首長国連邦	バーレーン	オマーン	アフガニスタン	エジプト	イラク	イラン	カタール	アゼルバイジャン	イスラエル	レバノン	クウェート	サウジアラビア	ヨルダン	アルジェリア	ナイジェリア	セネガル	チュニジア	ブラジル	エクアドル	中国本土外の感染者	クルーズ船内	世界全体の感染者
	30.589,114.315				22.287,114.143	22.159,113.564	24.014,121.111	35.692,139.739	36.572,127.613	14.487,108.523	1.323,103.908	-23.395,133.784	3.847,102.442	12.789,104.909	-41.269,174.759	12.011,123.885	47.142,2.414	63.139,25.796	51.163,10.631	42.567,12.655	43.733, 7.419	62.204,99.919	53.640,27.981	55.344,24.016	52.266,5.535	40.939,-3.537	60.413,15.589	52.695,-1.023	50.851,4.347	47.567,14.251	46.901,8.242	44.805,15.320	39.337, 21.994	61.249, 8.906	42.002, 43.558	41.647, 21.690	56.149, 9.278	49.767,15.370	58.732, 25.764	46.474, 24.582	64.839,-18.588	43.934, 12.447	40.529,44.741	49.775,6.108	57.045,25.237	39.479,-8.240	53.430, -7.927	15.547,101.347	27.845,85.423	7.324,80.699	21.689,78.646	-6.198,106.845	29.723,69.189	38.460,-98.721	56.898,-111.281	23.128,-101.979	18.902,-70.433	24.496,54.378	26.131,50.545	20.181,56.732	34.061,66.072	26.643,30.255	33.178,43.768	31.903, 54.352	25.355, 51.183	40.463,47.893	32.166,34.762	33.828,35.719	29.379,47.950	24.431,44.564	31.576,36.200	28.723,2.868	9.562,7.803	15.088,-14.897	34.139,9.517	-11.047, -51.823	-1.551, -78.904		34.000,143.000	
1/11	41	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/12	41	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/13	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/14	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/15	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/16	41	2	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/17	45	2	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
1/18	62	2	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
1/19	121	3	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
1/20	198	3	31	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198
1/21	291	3	31	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	295
1/22	440	9	31	9	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	446
1/23	571	17	31	17	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	581
1/24	830	25	34	25	2	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	846
1/25	1287	41	38	41	5	2	3	3	2	2	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	1320
1/26	1975	56	49	56	5	2	3	3	2	2	4	4	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	2014
1/27	2744	80	51	80	8	5	4	4	4	2	4	4	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	2798
1/28	4515	106	60	106	8	7	7	6	4	2	7	5	4	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	1	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	4593
1/29	5974	132	103	132	8	7	8	7	4	2	7	7	4	1	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	1	0	0	0	5	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	6065
1/30	7711	170	170	170	10	7	8	11	4	2	10	7	7	1	0	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	1	1	0	0	5	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	7818
1/31	9692	213	171	213	12	7	9	14	11	5	13	9	8	1	0	1	6	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	1	1	0	0	6	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	9826
2/1	11791	259	243	259	13	7	10	17	12	6	16	12	8	1	0	1	6	1	7	2	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	1	1	0	0	7	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	11953
2/2	14380	305	328	305	14	7	10	20	15	7	18	12	8	1	0	2	6	1	8	2	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	1	2	0	0	8	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	14557
2/3	17202	362	475	362	15	8	10	20	15	8	18	12	8	1	0	2	6	1	10	2	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	1	3	0	0	11	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	17388
2/4	20438	426	632	426	15	8	10	20	16	9	18	12	10	1	0	2	6	1	12	2	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	1	3	0	0	11	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	20630
2/5	24324	492	892	492	18	10	11	23	18	10	24	13	10	1	0	3	6	1	12	2	0	2	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	1	3	0	0	11	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	10	24554
2/6	28018	565	1153	565	21	10	11	25	23	10	28	14	12	1	0	3	6	1	12	2	0	2	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	1	3	0	0	12	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	20	28276
2/7	31161	638	1540	638	24	10	16	25	24	12	30	15	14	1	0	3	6	1	13	3	0	2	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	1	3	0	0	12	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	61	31481
2/8	34546	724	2049	724	26	10	16	25	24	13	33	15	15	1	0	3	6	1	14	3	0	2	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	1	3	0	0	12	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	64	34886
2/9	37198	813	2649	813	26	10	17	26	27	14	40	15	17	1	0	3	11	1	14	3	0	2	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	1	3	0	0	12	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	64	37558
2/10	40171	910	3281	910	36	10	18	26	27	14	43	15	18	1	0	3	11	1	14	3	0	2	0	0	0	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	1	3	0	0	12	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	70	40554
2/11	42638	1018	3996	1018	42	10	18	26	28	15	45	15	18	1	0	3	11	1	14	3	0	2	0	0	0	2	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	1	3	0	0	13	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	135	43103
2/12	44653	1115	4740	1115	49	10	18	29	28	15	47	15	18	1	0	3	11	1	16	3	0	2	0	0	0	2	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	1	3	0	0	13	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	174	45171
2/13	58761	1262	5642	1262	50	10	18	33	28	16	50	15	18	1	0	3	11	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	1	3	0	0	14	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	218	59334
2/14	63851	1383	6723	1383	53	10	18	41	28	16	58	15	19	1	0	3	11	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	1	3	0	0	15	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	218	64445
2/15	66491	1527	8096	1527	56	10	18	53	28	16	67	15	21	1	0	3	11	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	1	3	0	0	15	7	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	285	67180
2/16	68500	1670	9419	1670	56	10	18	59	29	16	72	15	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	1	3	0	0	15	7	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	355	69273
2/17	70550	1775	10851	1775	57	10	20	65	30	16	75	15	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	15	7	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	454	71437
2/18	72436	1873	12552	1873	60	10	22	73	31	16	77	15	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	15	8	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	542	73428
2/19	74182	2009	14376	2009	62	10	23	85	51	16	81	15	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	15	8	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	621	75292
2/20	75002	2124	16157	2126	65	10	24	93	104	16	84	15	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	15	8	0	0	9	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	559	634	76195
2/21	75891	2245	18266	2247	68	10	24	105	204	16	85	17	22	1	0	3	12	1	16	3	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	15	8	0	0	9	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	680	634	77205
2/22	76288	2357	20659	2359	68	10	26	132	346	16	86	21	22	1	0	3	12	1	16	9	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	35	8	0	0	11	0	0	0	1	0	18	0	0	1	1	0	0	0	0	0	0	0	0	0	899	634	77821
2/23	76741	2454	22888	2456	69	10	26	144	602	16	89	22	22	1	0	3	12	1	16	76	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	35	9	0	0	13	0	0	0	1	0	28	0	0	1	1	0	0	0	0	0	0	0	0	0	1252	691	78684
2/24	77150	2615	24734	2618	73	10	28	160	763	16	89	22	22	1	0	3	12	1	16	152	0	2	0	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	1	3	0	0	35	9	0	0	13	0	0	0	1	0	43	0	0	1	1	3	0	0	0	0	0	0	0	0	1529	691	79370
2/25	77658	2697	27323	2700	81	10	30	160	977	16	90	22	22	1	0	3	12	1	16	229	0	2	0	0	0	2	1	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	1	3	0	0	53	10	0	0	13	8	2	1	1	1	61	0	0	2	1	8	0	0	0	0	0	0	0	0	1892	691	80241
2/26	78064	2761	29745	2764	85	10	31	190	1261	16	91	23	22	1	0	3	12	1	18	322	0	2	0	0	0	2	1	13	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	1	1	3	0	0	53	10	0	0	13	26	4	1	1	5	95	0	0	2	1	12	0	0	1	0	0	0	0	0	2379	691	81134
2/27	78497	2801	32495	2805	91	10	32	215	1766	16	93	23	22	1	0	3	18	2	21	400	0	2	0	0	0	12	2	13	1	2	1	3	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	40	1	1	3	0	2	59	11	0	0	13	33	4	1	1	6	141	0	0	2	2	43	0	0	1	0	0	0	1	0	3121	705	82323
2/28	78824	2854	36117	2858	93	10	32	234	2337	16	96	23	24	1	1	3	38	2	26	650	0	2	1	1	1	25	7	16	1	4	6	3	3	4	1	1	1	0	1	1	0	0	0	0	0	0	0	40	1	1	3	0	2	59	11	0	0	19	33	6	1	1	7	245	0	0	3	2	43	0	0	1	1	0	0	1	0	4145	705	83674
2/29	79251	2906	39002	1418	94	10	34	243	3150	16	98	24	24	1	1	3	57	2	57	888	0	2	1	1	2	32	12	20	1	5	10	5	3	6	2	1	2	0	1	3	1	1	0	0	0	0	0	42	1	1	3	0	2	62	14	2	0	19	38	6	1	1	8	388	0	1	5	2	45	0	0	1	1	0	0	1	0	5457	705	85413
3/1	79824	2976	41625	851	95	10	39	257	3736	16	102	25	24	1	1	3	100	2	57	1128	1	2	1	1	7	45	13	23	1	10	18	7	3	15	3	1	3	0	1	3	1	1	0	0	0	0	1	42	1	1	3	0	4	62	19	2	0	19	40	6	1	1	13	593	1	3	7	9	45	0	0	1	1	0	0	2	1	6634	705	87163
3/2	80026	3020	44462	715	98	10	40	275	4212	16	106	27	24	1	1	3	100	6	129	1689	1	2	1	1	13	45	14	36	1	10	24	7	7	19	3	1	4	3	1	3	2	1	1	1	0	0	1	42	1	1	3	2	4	62	19	5	1	21	47	6	1	2	19	978	3	3	7	10	56	0	0	1	1	0	0	2	1	8237	706	88969
3/3	80151	3074	47204	587	100	10	41	275	4812	16	106	27	24	1	1	3	191	6	157	2036	1	2	1	1	13	45	14	43	1	10	30	7	7	19	3	1	4	3	1	3	2	1	1	1	1	1	1	42	1	1	3	2	4	62	19	5	1	21	47	6	1	2	19	1501	3	3	7	10	56	1	1	1	1	1	1	2	1	9848	706	90705